,Unnamed: 0,tg_th,tg_ph,tg_vz,tg_p,gem1_r,gem1_rp,gem1_ph,gem1_php,gem1_ph_local,sieve_r,sieve_ph,rate,hole_id
0,30,0.0076834557660921,4.95242667302673,-5099.607357694914,4399.94859265021,942.095244189839,0.0686013368132261,4.920887050933839,-0.00021422108284,-0.0159014047072645,39.768791401893886,4.9185065919930855,82883.94934474243,61
1,31,0.007588164317382,4.94978179461531,-5100.157070262824,4399.9504012110165,943.302196613507,0.0689377454473332,4.963746617017269,0.0002379871719188,0.0269581613761653,39.68990010021695,4.977576656394379,89302.57234744099,61
2,126,0.0078379038452165,4.918054696490392,-5100.2651466441785,4399.945115650171,948.8120794554964,0.0691691044859594,4.932800250597106,0.000422467817221,-0.0039882050439974,38.76275686258303,4.934268720382885,72308.4983316437,61
3,130,0.007331206317201,4.927968444022652,-5100.372710283459,4399.953456260527,955.8420062602138,0.0701064892594241,4.92933710382459,0.0003895809919597,-0.0074513518165133,37.78232622212636,4.922096880012422,101926.5893571107,61
4,216,0.007689689894487,4.902217144113772,-5100.320703188578,4399.9487310737,951.1605015700204,0.07014709518936,4.9326949733205145,-2.45690018579774e-05,-0.0040934823205889,38.32378916091288,4.924832277152232,83350.90368729096,61
5,232,0.0071441300629869,4.947964602870406,-5100.057855596115,4399.957180690341,946.6599102794682,0.0690192304356394,4.946800843714402,-3.352459447100324e-05,0.0100123880732985,38.727755462730215,4.960141994921025,121193.83655623192,61
6,254,0.0078598280882893,4.948988066603287,-5099.998995347083,4399.948297039583,942.872203193964,0.0685423565615963,4.939282008991084,-0.0001272047315121,0.0024935533499803,39.55536413599838,4.938085869301823,81899.50078897904,61
7,262,0.0075364355504177,4.896936325839929,-5099.778077143432,4399.947483769795,945.6891511580068,0.0693689119387323,4.932383755677828,-0.0001951590226957,-0.0044046999632758,39.26915527332628,4.918267716731809,79277.94158387689,61
8,327,0.0069003973051028,5.035667325270425,-5100.445406512854,4399.95796810024,953.2507167569888,0.0701985829170696,4.933984688368162,-0.0001999791207333,-0.0028037672729412,37.5743965834145,4.957702418988644,125948.52089431742,61
9,394,0.0072656175531411,4.925562643991261,-5100.159265829115,4399.954313171135,961.7366563415102,0.0714070120434782,4.941549299011933,0.0004398529299926,0.0047608433708292,36.33550999265585,4.948478377795498,105938.59406457149,61
10,397,0.0075275281611195,5.01710330511784,-5100.086697564082,4399.950620704469,953.0129018649436,0.0700781094697543,4.949693753180645,-9.656913861272272e-05,0.0129052975395413,37.73926856633634,4.973609224966864,90130.80793749569,61
11,430,0.0077235151666107,4.9122710501233255,-5100.344399667984,4399.947528979151,941.1043555807184,0.0685016152034144,4.924935866530466,0.000122236028137,-0.0118525891106378,39.93537258173431,4.911412199884598,79420.42168652457,61
12,513,0.00725324514015,5.000703969852919,-5099.735720238701,4399.952279518069,955.0383778127796,0.0705010749177256,4.9505248901411605,0.0002221932057286,0.013736434500057,37.56813125946215,4.983506132353911,96771.2504739029,61
13,523,0.007043458329235,4.950141253349764,-5100.329849132774,4399.955982688721,951.8100999799544,0.0699004812094428,4.956574541564796,0.0002265541538731,0.019786085923692,38.06210814942949,4.976937264703422,114451.14691071016,61
